date,NIR,NDA,gov_account,banks_net,repo_total,repo_main,repo_long,repo_fine,repo_lombard,fx_swap_attract,deposits,deposit_auctions,reverse_repo,fx_swap_alloc,securities_issued,other_net,monetary_base,currency_outside_cba,corr_dram,corr_fx,other_banks_dram,other_banks_fx,other_residents,other_dram,other_fx
2025-10-09,1298966.9996767,529279.46048154,-606652.4113569,717136.6001452,415080.632633,415080.632633,NA,NA,NA,NA,7001.0068493,NA,NA,NA,NA,418795.27169324,1828246.4601582,1080008.9886738,237695.2192592,499875.1023647,1.8852716,167.4588546,5103.2482913,5394.557443,10497.8057343
2025-10-10,1290476.8327517,539925.3401144,-589012.1054865,708713.7825751,415161.265263,415161.265263,NA,NA,NA,NA,6000.8630137,NA,NA,NA,NA,420223.6630258,1830402.1728661,1086497.1035718,222888.4547403,512204.2664345,1.8828555,167.319536,3634.2981754,5008.8475526,8643.1457279997
2025-10-13,1291751.0333629,544718.428895,-578957.1399508,704097.3826018,415403.163159,415403.163159,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,419578.186244,1836469.4622579,1088864.6790718,225796.1522292,512756.8133951,1.8518418,167.39123,3573.0776213,5309.4968687,8882.5744899999
2025-10-14,1385670.962237,538662.22735548,-583541.427102,703330.5887596,415483.795789,415483.795789,NA,NA,NA,NA,12301.769178,NA,NA,NA,NA,418873.06569788,1924333.1895925,1088204.8332618,221183.963149,605929.7035831,1.8102524,167.3990304,3574.6795084,5270.8008074,8845.4803158
2025-10-15,1386531.561826,552897.63268538,-599505.2993681,734336.4377162,435000,375000,NA,60000,NA,NA,NA,NA,NA,NA,NA,418066.49433728,1939429.1945114,1087056.7976618,229770.4149495,612786.0100484,1.8072757,167.7709832,5303.7289902,4342.6646026,9646.3935928001
2025-10-16,1388995.3118023,537307.31789204,-615363.6380523,734591.8189711,435084.40305,375072.863606,NA,60011.539444,NA,NA,NA,NA,NA,NA,NA,418079.13697324,1926302.6296943,1086534.153143,213179.6642635,614692.5797945,1.8063877,167.8003179,5767.8308539,5958.7949338,11726.6257877
2025-10-17,1402131.8211262,524276.97603547,-627566.8070098,734858.385481,435168.806096,375145.727208,NA,60023.078888,NA,NA,NA,NA,NA,NA,NA,416985.39756427,1926408.7971617,1089388.954463,217254.2900247,610229.9143574,1.7993878,167.8898555,5241.3245885,4124.6244848,9365.9490733002
2025-10-20,1396043.2687716,467287.27805048,-670906.1827211,721803.1887964,435422.015243,375364.318023,NA,60057.69722,NA,NA,NA,NA,NA,NA,NA,416390.27197518,1863330.5468221,1089772.901335,156565.891093,604229.2403523,1.7993878,180.0390703,8153.0762516,4427.5993321,12580.6755837
2025-10-21,1395760.6359432,460014.43004817,-679452.9262335,722338.5781552,435506.418289,375437.181626,NA,60069.236663,NA,NA,NA,NA,NA,NA,NA,417128.77812647,1855775.0659914,1086242.7844376,152079.0712929,605404.8565253,1.7900922,217.8819988,7407.3580096,4421.323635,11828.6816446
2025-10-22,1395425.0381775,524440.89218379,-677322.9487346,784882.209165,498000,350000,NA,148000,NA,NA,NA,NA,NA,NA,NA,416881.63175339,1919865.9303613,1081419.8096539,217865.5923868,604707.5192885,1.7435256,217.7302565,10665.2846656,4988.2505844,15653.53525
